"scenario","measure","n_countries","n_paradox","countries_failing"
"baseline_3pct","atkinson05",10,9,"FR_2009"
"gradient","atkinson05",10,6,"FR_2009 IT_2014 LU_2010 ES_2011"
"baseline_3pct","atkinson1",10,9,"FR_2009"
"gradient","atkinson1",10,3,"AT_2011 FR_2009 GR_2009 IT_2014 LU_2010 ES_2011 US_2013"
"baseline_3pct","atkinson2",10,5,"EE_2013 IT_2014 LU_2010 SK_2010 ES_2011"
"gradient","atkinson2",10,0,"AT_2011 EE_2013 FR_2009 GR_2009 IT_2014 LU_2010 SK_2010 SI_2014 ES_2011 US_2013"
"baseline_3pct","cv",10,10,""
"gradient","cv",10,9,"IT_2014"
"baseline_3pct","ge2",10,9,"IT_2014"
"gradient","ge2",10,8,"IT_2014 ES_2011"
"baseline_3pct","ge_mld",10,9,"FR_2009"
"gradient","ge_mld",10,3,"AT_2011 FR_2009 GR_2009 IT_2014 LU_2010 ES_2011 US_2013"
"baseline_3pct","ge_theil",10,10,""
"gradient","ge_theil",10,7,"FR_2009 IT_2014 ES_2011"
"baseline_3pct","gini",10,10,""
"gradient","gini",10,10,""
"baseline_3pct","top1",10,10,""
"gradient","top1",10,9,"IT_2014"
"baseline_3pct","top10",10,10,""
"gradient","top10",10,9,"IT_2014"
